﻿# Identitas AG. Validity: 2024-03-31. Evaluated: 2024-04-15
commune;count;countPerSurfacekm2;countPer100Inhabitants;top5breeds;top5names
Scuol;2154;4.90000000000000;46.60000000000000;Braunvieh  1195, Kreuzung  420, Original Braunvieh  212, Angus  140, Limousin  104;Nora  13, Mona  10, Olivia  9, Palma  9, Perla  9
Glarus Süd;4366;10.20000000000000;46.10000000000000;Braunvieh  2060, Original Braunvieh  1094, Kreuzung  796, Limousin  108, Hinterwaelder  79;Bianca  30, Bella  24, Heidi  24, Nora  23, Olivia  23
Zernez;1032;3.00000000000000;68.50000000000000;Braunvieh  227, Kreuzung  225, Angus  218, Limousin  154, Grauvieh  70;Fiona  5, Luna  5, Nora  5, Vera  5
Surses;1870;5.80000000000000;78.70000000000000;Braunvieh  577, Kreuzung  411, Original Braunvieh  227, Angus  209, Simmental  117;Gina  13, Alina  9, Viola  9, Anna  7, Aurora  7, Bella  7, Fiona  7
Val de Bagnes;2321;7.70000000000000;22.50000000000000;Eringer  1849, Swiss Fleckvieh  116, Original Braunvieh  94, Simmental  45, Kreuzung  43;Cerise  9, Brunette  8, Saphir  8, Baronne  7, Bijou  7, Caprice  7, Corail  7, Lilas  7, Madrid  7, Moustique  7, Pivoine  7, Promesse  7
Davos;1793;6.30000000000000;16.60000000000000;Braunvieh  950, Kreuzung  230, Angus  197, Holstein  133, Original Braunvieh  107;Bella  12, Fiona  9, Olivia  9, Amira  8, Bea  8
Bregaglia;549;2.20000000000000;35.30000000000000;Braunvieh  266, Kreuzung  123, Grauvieh  48, Original Braunvieh  42, Limousin  29;Elba  5
Anniviers;557;2.30000000000000;20.30000000000000;Eringer  439, Original Braunvieh  28, Simmental  17, Swiss Fleckvieh  16, Jersey  12;
Zermatt;66;0.30000000000000;1.10000000000000;Eringer  30, Simmental  27, Original Braunvieh  6;
Innertkirchen;786;3.30000000000000;73.30000000000000;Braunvieh  397, Original Braunvieh  182, Kreuzung  72, Grauvieh  38, Swiss Fleckvieh  34;Fiona  7, Emma  6, Bianca  5, Gloria  5, Lea  5, Nina  5, Paula  5, Petra  5
Klosters;1768;8.00000000000000;40.00000000000000;Braunvieh  607, Kreuzung  385, Original Braunvieh  222, Grauvieh  143, Holstein  114;Bella  8, Mia  8, Olivia  8, Gina  7, Gloria  7, Nina  7
Verzasca;107;0.50000000000000;13.40000000000000;Original Braunvieh  51, Kreuzung  39, Highland Cattle  36, Braunvieh  22, Hinterwaelder  18;
Evolène;960;4.60000000000000;58.30000000000000;Eringer  796, Evolene  49, Kreuzung  25, Simmental  24, Swiss Fleckvieh  19;Clairon  7, Tornade  7, Diamant  6, Rebelle  6, Couronne  5, Dragon  5, Fleurette  5, Gitane  5, Rubis  5, Saphir  5
Blenio;1116;5.50000000000000;63.10000000000000;Braunvieh  733, Kreuzung  206, Holstein  109, Swiss Fleckvieh  49, Red Holstein  43;Luna  8, Perla  7, Lea  6, Adula  5, Bianca  5, Cometa  5, Diana  5, Rosa  5, Stella  5, Tina  5
Guttannen;130;0.60000000000000;53.10000000000000;Braunvieh  92, Original Braunvieh  12, Grauvieh  10, Kreuzung  7, Holstein  5;
Val Müstair;1263;6.40000000000000;88.80000000000000;Braunvieh  474, Kreuzung  334, Limousin  300, Angus  100, Simmental  92;Ella  7, Mona  6, Palma  6, Bianca  5, Lea  5, Pamela  5, Viola  5
Poschiavo;1093;5.70000000000000;31.80000000000000;Kreuzung  358, Braunvieh  280, Limousin  267, Original Braunvieh  130, Grauvieh  65;Heidi  10, Luna  10, Nina  6, Fiona  5, Lea  5, Lisa  5, Perla  5, Pia  5
Bergün Filisur;563;3.00000000000000;61.30000000000000;Kreuzung  174, Grauvieh  75, Braunvieh  71, Angus  68, Original Braunvieh  44;Helga  5
Lavizzara;267;1.40000000000000;53.40000000000000;Braunvieh  89, Highland Cattle  69, Original Braunvieh  46, Kreuzung  30, Grauvieh  20;
Vals;537;3.10000000000000;56.80000000000000;Braunvieh  214, Kreuzung  116, Grauvieh  61, Original Braunvieh  47, Highland Cattle  31;Gina  11, Gloria  9, Heidi  8, Fiona  5, Flora  5
Fieschertal;151;0.90000000000000;46.30000000000000;Braunvieh  89, Original Braunvieh  35, Kreuzung  16, Eringer  5;
Muotathal;2057;11.90000000000000;59.30000000000000;Braunvieh  938, Original Braunvieh  732, Kreuzung  174, Holstein  147, Red Holstein  51;Sina  11, Perla  9, Bea  8, Bella  8, Flora  8, Holly  8, Rina  8, Wendy  8
Grindelwald;1860;10.90000000000000;48.90000000000000;Simmental  1172, Swiss Fleckvieh  244, Kreuzung  134, Original Braunvieh  80, Red Holstein  66;Bella  12, Enzian  12, Sina  11, Mia  10, Arnika  9, Bea  9
Lumnezia;3460;20.90000000000000;173.30000000000001;Braunvieh  1440, Kreuzung  864, Grauvieh  227, Angus  204, Original Braunvieh  189;Bianca  17, Sina  16, Lisa  15, Ronja  15, Alina  13
Orsières;1205;7.30000000000000;37.70000000000000;Eringer  654, Swiss Fleckvieh  145, Montbéliarde  85, Holstein  81, Simmental  73;Bella  6, Etoile  5, Milka  5, Tina  5, Titane  5
Mesocco;146;0.90000000000000;11.00000000000000;Yak  71, Braunvieh  42, Kreuzung  28, Highland Cattle  12, Limousin  10;
Lauterbrunnen;969;5.90000000000000;42.10000000000000;Swiss Fleckvieh  313, Simmental  252, Kreuzung  100, Limousin  95, Angus  49;Arnika  9, Anna  7, Amsel  6, Enzian  6, Luna  6, Ronja  6, Senta  6, Sepp  6
Bellinzona;501;3.10000000000000;1.20000000000000;Braunvieh  226, Kreuzung  152, Holstein  75, Limousin  34, Original Braunvieh  31;
Obergoms;638;4.10000000000000;97.59999999999999;Braunvieh  189, Galloway  116, Kreuzung  80, Swiss Fleckvieh  72, Holstein  51;Lorena  5
Arosa;1553;10.00000000000000;49.10000000000000;Braunvieh  574, Kreuzung  310, Angus  216, Original Braunvieh  100, Limousin  66;Bella  10, Nora  7, Belinda  6, Hanni  6, Nina  6
Glarus Nord;4761;32.40000000000000;25.30000000000000;Braunvieh  2440, Kreuzung  835, Original Braunvieh  542, Holstein  478, Red Holstein  240;Bella  24, Nora  23, Hanna  22, Fiona  20, Nina  20
Safiental;2393;15.80000000000000;255.40000000000001;Braunvieh  859, Kreuzung  761, Simmental  157, Original Braunvieh  155, Limousin  136;Bella  12, Luna  11, Fiona  10, Pia  10, Sissi  8
Cevio;49;0.30000000000000;4.30000000000000;Hinterwaelder  25, Kreuzung  24, Grauvieh  10;
Valsot;1187;7.50000000000000;143.69999999999999;Braunvieh  319, Kreuzung  306, Original Braunvieh  255, Angus  114, Limousin  101;Diana  8, Alma  6, Jana  6, Lina  6, Nina  6, Vanessa  6
Naters;420;2.90000000000000;4.10000000000000;Eringer  190, Simmental  67, Braunvieh  41, Evolene  28, Highland Cattle  26;Nora  6
Silenen;634;4.40000000000000;32.50000000000000;Braunvieh  361, Original Braunvieh  113, Kreuzung  72, Grauvieh  62, Limousin  18;Alma  6, Bella  5, Hanna  5
Mels;2782;20.00000000000000;31.90000000000000;Braunvieh  1654, Kreuzung  504, Original Braunvieh  260, Holstein  245, Limousin  187;Lisa  18, Bella  16, Nora  13, Tina  13, Luna  12
S-chanf;372;2.70000000000000;53.40000000000000;Highland Cattle  106, Simmental  80, Angus  66, Kreuzung  66, Braunvieh  62;
Rheinwald;915;6.70000000000000;159.40000000000001;Braunvieh  468, Original Braunvieh  155, Angus  137, Kreuzung  94, Jersey  63;Nora  8, Alina  7, Diana  6, Flora  6, Sina  6, Wendy  6
Medel (Lucmagn);334;2.50000000000000;97.09999999999999;Kreuzung  112, Braunvieh  84, Angus  57, Original Braunvieh  45, Limousin  27;Titti  5
Kandersteg;289;2.20000000000000;22.40000000000000;Swiss Fleckvieh  122, Simmental  67, Hinterwaelder  38, Original Braunvieh  20, Red Holstein  12;
Tujetsch;467;3.50000000000000;39.50000000000000;Kreuzung  182, Braunvieh  93, Highland Cattle  45, Grauvieh  40, Original Braunvieh  34;
Ilanz/Glion;2442;18.30000000000000;50.90000000000000;Braunvieh  790, Kreuzung  707, Limousin  225, Original Braunvieh  181, Holstein  128;Lara  8, Lena  8, Mara  8, Bella  7, Dina  7, Ella  7, Erna  7, Fina  7, Luisa  7, Nina  7, Nora  7, Palma  7, Viola  7
Faido;445;3.40000000000000;15.80000000000000;Kreuzung  145, Braunvieh  117, Original Braunvieh  89, Angus  46, Limousin  45;Luna  5
Diemtigen;3611;27.80000000000000;160.30000000000001;Simmental  1609, Swiss Fleckvieh  1179, Kreuzung  219, Holstein  171, Red Holstein  115;Diana  18, Edelweiss  17, Gloria  17, Gina  15, Enzian  13, Nina  13
Goms;781;6.00000000000000;67.30000000000000;Braunvieh  329, Original Braunvieh  171, Kreuzung  67, Simmental  47, Holstein  43;Bella  6, Gina  5, Greta  5, Luna  5, Maya  5, Ronja  5
Pfäfers;1208;9.40000000000000;79.09999999999999;Kreuzung  390, Braunvieh  281, Original Braunvieh  219, Grauvieh  94, Angus  69;Hanna  6, Sina  6, Bella  5, Edelweiss  5, Jana  5, Julia  5, Mira  5, Nora  5, Selma  5, Viola  5, Wanda  5
Reichenbach im Kandertal;2783;22.10000000000000;76.50000000000000;Simmental  1287, Swiss Fleckvieh  746, Kreuzung  245, Limousin  106, Grauvieh  91;Fiona  18, Bella  16, Arnika  14, Bianca  13, Edelweiss  13
Val-de-Travers;6097;48.90000000000000;57.60000000000000;Red Holstein  1728, Swiss Fleckvieh  935, Holstein  816, Montbéliarde  632, Simmental  447;Bella  14, Maya  14, Barbie  11, Finette  11, Babette  10, Nina  10, Stella  10
Val-de-Ruz;5455;43.90000000000000;31.80000000000000;Holstein  1343, Kreuzung  1169, Angus  937, Red Holstein  738, Limousin  642;Barbie  12, Cerise  11, Noisette  11, Nina  10, Tina  10
Lenk;2964;24.10000000000000;128.09999999999999;Simmental  1410, Swiss Fleckvieh  654, Angus  249, Kreuzung  223, Red Holstein  97;Mia  15, Amanda  14, Anna  14, Belinda  13, Bella  13, Fiona  13, Luna  13
Saanen;4822;40.20000000000000;70.50000000000000;Simmental  3016, Swiss Fleckvieh  879, Holstein  254, Kreuzung  167, Red Holstein  129;Arnika  21, Nina  20, Sina  20, Belinda  19, Bella  18, Olivia  18
Pontresina;27;0.20000000000000;1.20000000000000;Kreuzung  15, Grauvieh  7;
Château-d'Oex;3424;30.10000000000000;98.20000000000000;Swiss Fleckvieh  880, Red Holstein  754, Holstein  617, Simmental  539, Rotfleckvieh  134;Bella  11, Etoile  9, Iris  9, Prune  9, Fleur  8, Gentiane  8, Gloria  8, Tulipe  8
Val-de-Charmey;1769;15.80000000000000;69.40000000000001;Holstein  992, Red Holstein  408, Swiss Fleckvieh  152, Kreuzung  66, Hinterwaelder  57;Alouette  5, Violette  5
Maggia;159;1.40000000000000;6.10000000000000;Kreuzung  75, Braunvieh  58, Grauvieh  27, Original Braunvieh  18, Hinterwaelder  8;
Saas-Almagell;54;0.50000000000000;14.80000000000000;Eringer  48, Original Braunvieh  5;
Einsiedeln;5073;51.30000000000000;31.20000000000000;Braunvieh  2299, Kreuzung  894, Original Braunvieh  828, Holstein  301, Limousin  299;Bella  33, Sina  24, Bea  18, Laura  18, Belinda  17
Flühli;2668;24.70000000000000;145.30000000000001;Kreuzung  697, Braunvieh  661, Holstein  251, Grauvieh  234, Simmental  224;Bella  16, Olga  16, Alma  12, Diana  12, Olivia  12
Hérémence;259;2.40000000000000;18.10000000000000;Eringer  216, Kreuzung  19, Grauvieh  11;
Escholzmatt-Marbach;7061;66.40000000000001;162.40000000000001;Swiss Fleckvieh  1491, Braunvieh  1301, Kreuzung  1074, Simmental  836, Limousin  510;Sina  37, Bella  36, Bianca  29, Luna  28, Tina  26
Onsernone;18;0.20000000000000;2.70000000000000;Kreuzung  11, Grauvieh  6;
Göschenen;89;0.90000000000000;20.80000000000000;Braunvieh  60, Yak  21;
Glarus;1957;18.90000000000000;15.60000000000000;Braunvieh  962, Kreuzung  402, Original Braunvieh  318, Angus  117, Limousin  62;Bianca  12, Fiona  11, Nina  11, Gina  10, Heidi  10, Paula  10
Sumvitg;844;8.30000000000000;76.40000000000001;Braunvieh  427, Kreuzung  239, Angus  88, Original Braunvieh  86, Limousin  68;Mona  6, Bianca  5, Sissi  5
Le Chenit;1592;16.10000000000000;34.60000000000000;Montbéliarde  411, Red Holstein  411, Swiss Fleckvieh  351, Holstein  326, Rotfleckvieh  43;Amandine  5, Pomme  5
Wassen;159;1.60000000000000;38.60000000000000;Braunvieh  85, Kreuzung  37, Original Braunvieh  37, Angus  13, Limousin  8, Swiss Fleckvieh  8;
Serravalle;322;3.30000000000000;15.50000000000000;Braunvieh  113, Kreuzung  81, Highland Cattle  56, Grauvieh  19, Angus  15, Pinzgauer  15;
Breil/Brigels;1900;19.70000000000000;109.80000000000000;Braunvieh  742, Kreuzung  532, Angus  238, Original Braunvieh  87, Simmental  60;Gloria  9, Bella  8, Fiona  8, Tina  7, Anna  6, Clara  6, Cora  6, Hanna  6, Julia  6, Lara  6, Nina  6, Sina  6, Toro  6
Bex;837;8.70000000000000;10.70000000000000;Angus  179, Swiss Fleckvieh  169, Eringer  160, Kreuzung  140, Simmental  131;Bella  6, Lila  5
Airolo;428;4.50000000000000;29.00000000000000;Braunvieh  165, Holstein  144, Red Holstein  60, Kreuzung  19, Jersey  15;Fiona  5
Albula/Alvra;1350;14.40000000000000;104.20000000000000;Kreuzung  419, Braunvieh  391, Angus  239, Original Braunvieh  82, Grauvieh  81;Nora  8, Belinda  6, Bianca  5, Luna  5, Tamara  5
Avers;482;5.20000000000000;293.89999999999998;Angus  234, Kreuzung  102, Original Braunvieh  69, Grauvieh  24, Braunvieh  19;Alma  6, Bella  5
Nesslau;5487;59.20000000000000;152.09999999999999;Braunvieh  3744, Original Braunvieh  628, Kreuzung  534, Limousin  235, Angus  167;Bella  33, Flora  26, Sina  26, Nora  25, Alma  22, Gabi  22
Wolfenschiessen;1299;14.00000000000000;61.40000000000000;Braunvieh  515, Kreuzung  186, Original Braunvieh  177, Grauvieh  139, Dexter  107;Arnika  13, Alma  8, Blüemli  6, Gina  6, Goldi  6, Sarina  6
Kerns;3759;40.60000000000000;59.40000000000000;Braunvieh  2198, Original Braunvieh  432, Kreuzung  332, Holstein  263, Swiss Fleckvieh  147;Hanna  22, Nora  20, Alma  19, Bella  19, Viola  18
Zürich;336;3.80000000000000;0.10000000000000;Wasserbueffel  101, Kreuzung  83, Braunvieh  61, Galloway  58, Swiss Fleckvieh  55;
Simplon;243;2.70000000000000;83.20000000000000;Braunvieh  154, Kreuzung  24, Grauvieh  17, Original Braunvieh  16, Simmental  12;
Disentis/Mustér;768;8.40000000000000;38.20000000000000;Braunvieh  258, Original Braunvieh  194, Kreuzung  99, Angus  40, Highland Cattle  38;Livia  5
Blatten;59;0.70000000000000;19.90000000000000;Galloway  52, Simmental  6;
Bourg-Saint-Pierre;43;0.50000000000000;20.40000000000000;Original Braunvieh  16, Kreuzung  13, Simmental  5;
St. Niklaus;299;3.40000000000000;13.40000000000000;Eringer  134, Simmental  97, Kreuzung  19, Evolene  15, Highland Cattle  14;Luna  5
Lugano;117;1.50000000000000;0.20000000000000;Angus  91, Grauvieh  40, Braunvieh  35, Kreuzung  16, Highland Cattle  15;
Adelboden;2896;33.10000000000000;86.59999999999999;Simmental  1826, Swiss Fleckvieh  272, Kreuzung  171, Holstein  106, Limousin  101;Anemone  21, Enzian  17, Sina  15, Fiona  14, Bella  13
Wildhaus-Alt St. Johann;3360;38.40000000000000;128.00000000000000;Braunvieh  2394, Kreuzung  401, Original Braunvieh  268, Limousin  134, Angus  87;Bella  26, Bianca  17, Sina  15, Flora  14, Tina  13
Riviera;178;2.10000000000000;4.20000000000000;Kreuzung  50, Holstein  49, Braunvieh  36, Dexter  35, Red Holstein  16;
Zwischbergen;39;0.50000000000000;54.90000000000000;Original Braunvieh  32, Simmental  5;
Nendaz;1141;13.30000000000000;16.80000000000000;Eringer  878, Simmental  138, Swiss Fleckvieh  45, Kreuzung  34, Evolene  17;Diamant  5, Furie  5, Mesquine  5, Taïga  5, Tempête  5, Tonnerre  5
Giswil;2298;26.70000000000000;62.50000000000000;Braunvieh  1168, Kreuzung  314, Original Braunvieh  299, Swiss Fleckvieh  122, Holstein  117;Tina  15, Bella  14, Olga  13, Alma  12, Viola  12
Conthey;481;5.70000000000000;5.40000000000000;Eringer  341, Original Braunvieh  77, Simmental  20, Braunvieh  12, Highland Cattle  12;Coquine  5
Luzein;1607;19.20000000000000;100.70000000000000;Braunvieh  555, Kreuzung  338, Original Braunvieh  294, Angus  135, Limousin  71;Flora  13, Fiona  10, Hanna  10, Enzian  7, Gloria  7, Heidi  7, Lotti  7
Gurtnellen;364;4.40000000000000;71.09999999999999;Braunvieh  166, Kreuzung  68, Original Braunvieh  43, Grauvieh  36, Limousin  27;
Unterschächen;604;7.50000000000000;86.90000000000001;Braunvieh  325, Original Braunvieh  117, Kreuzung  103, Grauvieh  30, Holstein  23;Sina  6, Bella  5, Rina  5
Realp;57;0.70000000000000;40.10000000000000;Yak  57;
Boltigen;2858;37.10000000000000;228.80000000000001;Simmental  1148, Swiss Fleckvieh  981, Holstein  153, Kreuzung  133, Red Holstein  117;Bianca  13, Amanda  11, Pia  11, Sissi  11, Luna  10, Nora  10, Salome  10
Sarnen;3854;52.70000000000000;36.70000000000000;Braunvieh  2140, Original Braunvieh  563, Kreuzung  454, Limousin  197, Swiss Fleckvieh  186;Bella  23, Sina  21, Jana  20, Amanda  19, Hanna  19
Quinto;471;6.30000000000000;47.30000000000000;Braunvieh  225, Holstein  84, Angus  68, Kreuzung  60, Original Braunvieh  34;
Bedretto;;;;;
Flums;2686;35.70000000000000;54.10000000000000;Braunvieh  1393, Kreuzung  396, Holstein  284, Limousin  232, Original Braunvieh  142;Nora  16, Bella  14, Julia  12, Anna  11, Fiona  11
Ferrera;6;0.10000000000000;7.60000000000000;;
Engelberg;1268;16.90000000000000;30.20000000000000;Braunvieh  783, Kreuzung  247, Holstein  120, Original Braunvieh  101, Limousin  32;Arvi  11, Bella  7, Tina  7, Belinda  6, Enzian  6, Luna  6
Quarten;1155;18.70000000000000;38.70000000000000;Braunvieh  438, Original Braunvieh  207, Kreuzung  167, Limousin  73, Grauvieh  63;Bella  11, Nora  6, Enzian  5, Lena  5
Zweisimmen;2745;37.60000000000000;90.50000000000000;Simmental  1359, Swiss Fleckvieh  963, Red Holstein  93, Kreuzung  72, Holstein  61;Bianca  13, Anna  12, Bella  11, Lena  11, Selina  11
Frutigen;5129;71.00000000000000;73.59999999999999;Simmental  3439, Swiss Fleckvieh  643, Kreuzung  250, Limousin  133, Grauvieh  109;Edelweiss  29, Anemone  27, Bella  27, Leo  22, Arnika  21, Bianca  21, Enzian  21, Fiona  21
Haute-Sorne;2053;28.90000000000000;28.60000000000000;Limousin  575, Red Holstein  491, Kreuzung  423, Holstein  409, Angus  345;Caline  6, Mila  6, Babette  5, Etoile  5, Fanny  5, Grisette  5, Lara  5, Livia  5, Plume  5, Pomme  5, Surprise  5, Tulipe  5
Savièse;505;7.10000000000000;6.40000000000000;Eringer  191, Angus  131, Swiss Fleckvieh  91, Kreuzung  22, Hereford  19;
Obersaxen Mundaun;1271;18.10000000000000;109.20000000000000;Braunvieh  527, Kreuzung  387, Angus  191, Limousin  83, Original Braunvieh  59;Fiona  7, Flora  7, Bella  6, Hanna  6, Rosa  6
Winterthur;1261;18.50000000000000;1.10000000000000;Kreuzung  330, Red Holstein  306, Braunvieh  233, Holstein  228, Limousin  94;Alma  5, Gabi  5, Luna  5
Leukerbad;152;2.30000000000000;11.40000000000000;Swiss Fleckvieh  72, Highland Cattle  34, Braunvieh  15, Evolene  11, Holstein  9;
Plaffeien;2265;34.00000000000000;62.70000000000000;Swiss Fleckvieh  1015, Holstein  457, Red Holstein  304, Simmental  136, Kreuzung  109;Edelweiss  8, Bella  7, Enzian  7, Kim  7, Mia  7, Nora  7
Gambarogno;26;0.50000000000000;0.50000000000000;Braunvieh  10, Original Braunvieh  7, Dexter  6;
Binn;136;2.10000000000000;107.09999999999999;Original Braunvieh  127;
Ormont-Dessous;793;12.40000000000000;67.09999999999999;Kreuzung  234, Simmental  221, Swiss Fleckvieh  90, Normande  49, Jersey  47, Original Braunvieh  47;
Sils im Engadin/Segl;182;2.90000000000000;25.50000000000000;Kreuzung  50, Grauvieh  41, Braunvieh  28, Angus  21, Original Braunvieh  20;
La Punt Chamues-ch;180;2.80000000000000;26.20000000000000;Kreuzung  45, Braunvieh  31, Grauvieh  30, Original Braunvieh  24, Angus  21;
Lausanne;192;4.60000000000000;0.10000000000000;Holstein  94, Angus  77, Jersey  18, Kreuzung  7, Red Holstein  5;
