commune,count
Glarus Sud,4366.0
Surses,1870.0
Val de Bagnes,2321.0
Bregaglia,549.0
Anniviers,557.0
Klosters,1768.0
Verzasca,107.0
Val Mustair,1263.0
Bergun Filisur,563.0
Lumnezia,3460.0
Obergoms,638.0
Glarus Nord,4761.0
Safiental,2393.0
Valsot,1187.0
Rheinwald,915.0
Ilanz/glion,2442.0
Goms,781.0
Reichenbach Im Kandertal,2783.0
Val-de-travers,6097.0
Val-de-ruz,5455.0
Val-de-charmey,1769.0
Saas-almagell,54.0
Escholzmatt-marbach,7061.0
le Chenit,1592.0
Serravalle,322.0
Albula/alvra,1350.0
Nesslau,5487.0
Zurich,336.0
Wildhaus-alt Saintjohann,3360.0
Riviera,178.0
Sarnen,3854.0
Haute-sorne,2053.0
Obersaxen Mundaun,1271.0
Gambarogno,26.0
Sils Im Engadin/segl,182.0
la Punt Chamues-ch,180.0
Gsteig,1208.0
Clos Du Doubs,3762.0
Crans-montana,321.0
Schwende-rute,4036.0
la Chaux-de-fonds,4490.0
Estavayer,1423.0
Muntogna Da Schons,1277.0
Centovalli,41.0
Arzier-le Muids,418.0
Bern,1002.0
Seewis Im Prattigau,872.0
Neckertal,0.0
Langnau Im Emmental,4022.0
Val Terbi,2382.0
Oberwil Im Simmental,2237.0
Domleschg,1753.0
Schwarzenburg,5232.0
Mont-noble,266.0
la Grande Beroche,1953.0
la Brevine,3284.0
Haute-ajoie,1756.0
Saas-fee,52.0
Val-d'illiez,586.0
Calanca,205.0
Rothenbach Im Emmental,2685.0
Erlenbach Im Simmental,1403.0
Wohlen Bei Bern,2308.0
Gibloux,3986.0
Monteceneri,60.0
le Lieu,654.0
Vully-les-lacs,533.0
le Locle,1823.0
Montanaire,1793.0
Hautemorges,2293.0
Hergiswil Bei Willisau,3337.0
Blonay - Saint-legier,711.0
Luzern,1218.0
la Baroche,1382.0
Aeschi Bei Spiez,1739.0
Horgen,1895.0
Saas-balen,38.0
Les Verrieres,2012.0
Bettmeralp,241.0
Tschiertschen-praden,284.0
Bourg-en-lavaux,220.0
Avegno Gordevio,163.0
Triesen,443.0
Oron,2787.0
Belmont-broye,1117.0
la Sagne,1570.0
Plateau de Diesse,1270.0
Breggia,170.0
Bad Ragaz,678.0
Valbroye,1690.0
Saas-grund,152.0
Les Bois,1638.0
Welschenrohr-gansbrunnen,1274.0
Mont-vully,554.0
la Roche,1614.0
Stammheim,991.0
Petit-val,1435.0
Pery-la Heutte,371.0
Triesenberg,516.0
Gampel-bratsch,228.0
Basse-allaine,1346.0
Buchegg,1316.0
Cheyres-chables,507.0
Boztal,1280.0
Alto Malcantone,283.0
Bosco/gurin,73.0
