﻿# Identitas AG. Validity: 2024-04-30. Evaluated: 2024-05-02
commune;count;countPerSurfacekm2;countPer100Inhabitants;top5breeds;top5names
Scuol;388;0.90000000000000;8.40000000000000;Andere  123, Kreuzung  64, Gaemsfarbige_Gebirgsziege  55, Stiefelgeiss  39, Buendner_Strahlenziege  37;
Glarus Süd;1298;3.00000000000000;13.70000000000000;Andere  229, Kreuzung  214, Gaemsfarbige_Gebirgsziege  213, Buendner_Strahlenziege  185, Burenziege  175;Bella  6, Heidi  5, Lea  5, Susi  5, Zora  5
Zernez;58;0.20000000000000;3.90000000000000;Andere  22, Kreuzung  15, Buendner_Strahlenziege  9, Gaemsfarbige_Gebirgsziege  5;
Surses;570;1.80000000000000;24.00000000000000;Gaemsfarbige_Gebirgsziege  125, Andere  118, Buendner_Strahlenziege  118, Kreuzung  102, Pfauenziege  26;
Val de Bagnes;579;1.90000000000000;5.60000000000000;Andere  300, Buendner_Strahlenziege  65, Gaemsfarbige_Gebirgsziege  64, Saanenziege  47, Kreuzung  32;
Davos;185;0.70000000000000;1.70000000000000;Kreuzung  54, Andere  32, Saanenziege  28, Capra_Grigia  20, Appenzellerziege  12, Zwergziege  12;
Bregaglia;381;1.50000000000000;24.50000000000000;Andere  146, Buendner_Strahlenziege  82, Kreuzung  36, Nera_Verzascaziege  35, Capra_Grigia  26;
Anniviers;84;0.30000000000000;3.10000000000000;Andere  28, Burenziege  28, Zwergziege  11, Walliser_Schwarzhalsziege  7, Pfauenziege  5;
Zermatt;61;0.30000000000000;1.00000000000000;Walliser_Schwarzhalsziege  26, Saanenziege  17, Buendner_Strahlenziege  8;
Innertkirchen;251;1.10000000000000;23.40000000000000;Gaemsfarbige_Gebirgsziege  69, Saanenziege  55, Burenziege  52, Toggenburgerziege  24, Kreuzung  19;
Klosters;341;1.60000000000000;7.70000000000000;Buendner_Strahlenziege  135, Kreuzung  58, Andere  55, Walliser_Schwarzhalsziege  42, Gaemsfarbige_Gebirgsziege  21;
Verzasca;806;3.70000000000000;100.90000000000001;Andere  357, Nera_Verzascaziege  307, Kreuzung  55, Gaemsfarbige_Gebirgsziege  39, Buendner_Strahlenziege  18;
Evolène;9;0.00000000000000;0.50000000000000;Andere  6;
Blenio;371;1.80000000000000;21.00000000000000;Andere  264, Kreuzung  43, Saanenziege  39, Gaemsfarbige_Gebirgsziege  13;Nera  47, Ignazza  34, Frisa  20, Nero  7
Guttannen;23;0.10000000000000;9.40000000000000;Kreuzung  7, Andere  5;
Val Müstair;173;0.90000000000000;12.20000000000000;Buendner_Strahlenziege  64, Kreuzung  61, Gaemsfarbige_Gebirgsziege  32, Zwergziege  7, Andere  6;
Poschiavo;191;1.00000000000000;5.60000000000000;Andere  60, Kreuzung  35, Buendner_Strahlenziege  29, Capra_Grigia  25, Gaemsfarbige_Gebirgsziege  22;
Bergün Filisur;71;0.40000000000000;7.70000000000000;Kreuzung  23, Pfauenziege  17, Buendner_Strahlenziege  14, Burenziege  11;
Lavizzara;676;3.60000000000000;135.19999999999999;Andere  242, Nera_Verzascaziege  160, Kreuzung  130, Buendner_Strahlenziege  47, Gaemsfarbige_Gebirgsziege  34;Nera  10, Moscia  6
Vals;236;1.30000000000000;24.90000000000000;Kreuzung  52, Buendner_Strahlenziege  43, Gaemsfarbige_Gebirgsziege  31, Pfauenziege  31, Andere  24;
Fieschertal;52;0.30000000000000;16.00000000000000;Gaemsfarbige_Gebirgsziege  49;
Muotathal;549;3.20000000000000;15.80000000000000;Andere  146, Kreuzung  84, Toggenburgerziege  69, Appenzellerziege  62, Pfauenziege  51;Flora  5
Grindelwald;493;2.90000000000000;13.00000000000000;Gaemsfarbige_Gebirgsziege  167, Saanenziege  100, Andere  94, Toggenburgerziege  34, Buendner_Strahlenziege  23, Burenziege  23;
Lumnezia;932;5.60000000000000;46.70000000000000;Kreuzung  240, Gaemsfarbige_Gebirgsziege  187, Buendner_Strahlenziege  143, Andere  114, Burenziege  108;Luna  9, Clara  6, Fiona  5, Paula  5
Orsières;70;0.40000000000000;2.20000000000000;Gaemsfarbige_Gebirgsziege  41, Andere  9, Kreuzung  7, Walliser_Schwarzhalsziege  7, Kupferhalsziege  5;
Mesocco;28;0.20000000000000;2.10000000000000;Kreuzung  16, Saanenziege  6;
Lauterbrunnen;348;2.10000000000000;15.10000000000000;Gaemsfarbige_Gebirgsziege  90, Kreuzung  78, Andere  59, Saanenziege  51, Buendner_Strahlenziege  28;
Bellinzona;903;5.50000000000000;2.10000000000000;Andere  283, Nera_Verzascaziege  245, Kreuzung  114, Gaemsfarbige_Gebirgsziege  81, Pfauenziege  39, Saanenziege  39;Ruedi  6
Obergoms;7;0.00000000000000;1.10000000000000;;
Arosa;240;1.60000000000000;7.60000000000000;Andere  58, Buendner_Strahlenziege  46, Kreuzung  46, Gaemsfarbige_Gebirgsziege  30, Burenziege  28;
Glarus Nord;678;4.60000000000000;3.60000000000000;Kreuzung  135, Andere  133, Gaemsfarbige_Gebirgsziege  84, Burenziege  59, Zwergziege  52;Flöckli  5, Sina  5, Susi  5
Safiental;231;1.50000000000000;24.70000000000000;Kreuzung  51, Andere  46, Pfauenziege  41, Buendner_Strahlenziege  36, Capra_Grigia  19;
Cevio;285;1.90000000000000;25.00000000000000;Andere  196, Nera_Verzascaziege  27, Kreuzung  24, Gaemsfarbige_Gebirgsziege  15, Toggenburgerziege  9;
Valsot;310;2.00000000000000;37.50000000000000;Buendner_Strahlenziege  115, Gaemsfarbige_Gebirgsziege  68, Kreuzung  68, Andere  36, Saanenziege  10;
Naters;768;5.20000000000000;7.50000000000000;Walliser_Schwarzhalsziege  485, Gaemsfarbige_Gebirgsziege  84, Toggenburgerziege  47, Saanenziege  33, Appenzellerziege  20;Lina  6, Lisa  6, Klara  5
Silenen;220;1.50000000000000;11.30000000000000;Burenziege  124, Andere  47, Kreuzung  14, Toggenburgerziege  14, Zwergziege  8;
Mels;581;4.20000000000000;6.70000000000000;Buendner_Strahlenziege  130, Gaemsfarbige_Gebirgsziege  81, Kreuzung  66, Capra_Grigia  59, Andere  56;Luna  5
S-chanf;10;0.10000000000000;1.40000000000000;Kreuzung  10;
Rheinwald;346;2.50000000000000;60.30000000000000;Buendner_Strahlenziege  192, Andere  114, Pfauenziege  28, Nera_Verzascaziege  5;
Medel (Lucmagn);116;0.90000000000000;33.70000000000000;Pfauenziege  29, Andere  26, Capra_Grigia  19, Kreuzung  17, Buendner_Strahlenziege  10;
Kandersteg;26;0.20000000000000;2.00000000000000;Burenziege  9, Kreuzung  6;
Tujetsch;256;1.90000000000000;21.60000000000000;Andere  157, Gaemsfarbige_Gebirgsziege  34, Kreuzung  17, Zwergziege  15, Buendner_Strahlenziege  10, Toggenburgerziege  10;
Ilanz/Glion;248;1.90000000000000;5.20000000000000;Burenziege  72, Gaemsfarbige_Gebirgsziege  38, Kreuzung  32, Buendner_Strahlenziege  25, Capra_Grigia  25;
Faido;857;6.50000000000000;30.40000000000000;Andere  269, Nera_Verzascaziege  154, Kreuzung  124, Buendner_Strahlenziege  106, Gaemsfarbige_Gebirgsziege  60;
