﻿# Identitas AG. Validity: 2024-04-30. Evaluated: 2024-05-02
commune;count;countPerSurfacekm2;countPer100Inhabitants;top5breeds;top5names
Scuol;3112;7.10000000000000;67.30000000000000;Weisses_Alpenschaf  1792, Andere  834, Engadinerschaf  184, Kreuzung  138, Saaser_Mutte  47;Naira  17, Alba  5
Glarus Süd;1764;4.10000000000000;18.60000000000000;Andere  695, Weisses_Alpenschaf  386, Kreuzung  286, Suffolk  91, Nolana  73;
Zernez;135;0.40000000000000;9.00000000000000;Weisses_Alpenschaf  67, Andere  25, Heidschnucke  20, Kreuzung  9;
Surses;1431;4.40000000000000;60.20000000000000;Lacaune  551, Andere  254, Weisses_Alpenschaf  223, Dorper  177, Kreuzung  61;Nora  5
Val de Bagnes;2688;8.90000000000000;26.00000000000000;Andere  1550, Lacaune  592, Kreuzung  227, Suffolk  180, Heidschnucke  63;
Davos;1386;4.90000000000000;12.80000000000000;Weisses_Alpenschaf  503, Lacaune  299, Spiegelschaf  269, Andere  109, Coburger_Fuchsschaf  95;
Bregaglia;342;1.40000000000000;22.00000000000000;Andere  247, Weisses_Alpenschaf  40, Schwarzbraunes_Bergschaf  17, Lacaune  11, Kreuzung  9;
Anniviers;71;0.30000000000000;2.60000000000000;Walliser_Landschaf  29, Weisses_Alpenschaf  17, Ostfriesisches_Milchschaf  8, Texel  8;
Zermatt;1006;4.10000000000000;17.30000000000000;Walliser_Schwarznasenschaf  980, Walliser_Landschaf  12, Weisses_Alpenschaf  10;Theo  49, Barri  42, Thom  25, Killi  19, Timo  15
Innertkirchen;925;3.90000000000000;86.30000000000000;Andere  416, Kreuzung  212, Schwarzbraunes_Bergschaf  119, Weisses_Alpenschaf  73, Engadinerschaf  35;
Klosters;890;4.00000000000000;20.20000000000000;Andere  389, Nolana  149, Weisses_Alpenschaf  95, Kreuzung  76, Suffolk  66;
Verzasca;611;2.80000000000000;76.50000000000000;Weisses_Alpenschaf  242, Andere  191, Kreuzung  144, Engadinerschaf  15, Schwarzbraunes_Bergschaf  9;
Evolène;1071;5.10000000000000;65.00000000000000;Kreuzung  431, Andere  299, Weisses_Alpenschaf  165, Suffolk  90, Schwarzbraunes_Bergschaf  25;
Blenio;1551;7.70000000000000;87.59999999999999;Andere  1274, Lacaune  113, Kreuzung  35, Weisses_Alpenschaf  35, Engadinerschaf  28;
Guttannen;373;1.90000000000000;152.19999999999999;Andere  145, Kreuzung  58, Weisses_Alpenschaf  55, Schwarzbraunes_Bergschaf  40, Engadinerschaf  22;Weiss  21, Schwarz  10
Val Müstair;540;2.70000000000000;37.90000000000000;Weisses_Alpenschaf  356, Skudde  98, Engadinerschaf  35, Kreuzung  25, Andere  14;
Poschiavo;1722;9.00000000000000;50.00000000000000;Kreuzung  661, Weisses_Alpenschaf  568, Andere  199, Schwarzbraunes_Bergschaf  147, Braunkoepfiges_Fleischschaf  35;Bella  9
Bergün Filisur;514;2.70000000000000;55.90000000000000;Andere  341, Kreuzung  131, Buendner_Oberlaender_Schaf  31, Engadinerschaf  5;
Lavizzara;300;1.60000000000000;60.00000000000000;Weisses_Alpenschaf  174, Kreuzung  44, Andere  38, Braunkoepfiges_Fleischschaf  29, Schwarzbraunes_Bergschaf  12;
Vals;1406;8.00000000000000;148.59999999999999;Andere  445, Weisses_Alpenschaf  353, Kreuzung  179, Engadinerschaf  164, Spiegelschaf  133;Fiona  5
Fieschertal;392;2.30000000000000;120.20000000000000;Weisses_Alpenschaf  307, Kreuzung  32, Walliser_Schwarznasenschaf  30, Schwarzbraunes_Bergschaf  11, Texel  10;
Muotathal;1861;10.80000000000000;53.60000000000000;Andere  891, Weisses_Alpenschaf  533, Kreuzung  201, Schwarzbraunes_Bergschaf  90, Lacaune  40;
Grindelwald;527;3.10000000000000;13.90000000000000;Schwarzbraunes_Bergschaf  156, Lacaune  140, Andere  58, Weisses_Alpenschaf  47, Kreuzung  42;Widerli  8
Lumnezia;2250;13.60000000000000;112.70000000000000;Weisses_Alpenschaf  584, Andere  507, Kreuzung  492, Shropshire  216, Engadinerschaf  126;Diana  5
Orsières;1849;11.20000000000000;57.90000000000000;Weisses_Alpenschaf  758, Andere  380, Texel  280, Ile_de_France_Suisse  188, Suffolk  161;
