Bew.-Nr.;Firmenname;Adresse;PLZ;Ort/Region;Kategorie;Weitere Aktivitäten;Tierart
70147816;Abattoir Communal;Ch. de la Villaire 8;1040;Echallens VD;SH, CP;;B, C, O, P, S
70147795;Abattoir d'Orsieres;Rue de la Commune 3;1937;Orsières VS;SH;SH(II);B, C, O, P, S
42018154;Abattoir de la Vallée;;1874;Champéry VS;SH;;B, C, O, P, S
65078572;Abattoir de la Vallée de Joux;;1344;L'Abbaye VD;SH, CP;;B, C, O, P, S
16-GE-27714;Abattoir de Loëx Sàrl;Route de Loëx 157;1233;Bernex GE;SH;SH(II);B, C, O, P
70593921;Abattoir de Meinier;Case Postale 125;1252;Meinier GE;SH, CP;SH(II), CP(II), SH(III), CP(III);B, C, O, P
70148558;Abattoir des Marais Sàrl;Chemin des Marais 2;1470;Estavayer-le-Lac FR;SH;SH(II);B, C, O, P, S
70147837;Abattoir le Vergnolet;Rte de Cremières 2;1070;Puidoux VD;SH;;B, C, O, P, S
77417802;Abattoir Régional d'Avenches;Rte de la Plaine 64;1580;Avenches VD;SH;SH(III);B, C, O, P, S
66582220;Abattoir régional Les Ponts-de-Martel;Les Barres ;2316;Les Ponts-de-Martel NE;SH;SH(III);B, C, O, P, S
66645315;Abattoirs de la Vallée Sàrl;Rue des Artisans 13;2830;Courrendlin JU;SH;SH(III);B, C, O, P, S
73257847;Abattoirs de Moudon SEAM SA;Rte de Siviriez 12;1510;Moudon VD;SH, CP;;B, C, O
65414232;"Abattoirs de Moutier &amp; env. SA";;2740;Moutier BE;SH;SH(II), SH(III);B, C, O, P, S
68886628;Abattoirs Simon Rouiller SA;ch. des Abattoirs 6;1627;Vaulruz FR;SH, CP;SH(II), CP(II), SH(III), CP(III), MM(V), PP(VI);B, C, O, P, S
70147821;Administration Communale;Pl. du Village 1;1088;Ropraz VD;SH;SH(III);
42412502;Adrian Bürgisser;Schlachthaus Riedtal ;6126;Daiwil LU;SH;;B, C, O, P, S
52609955;Agroscope;rte de la Tioleyre 4;1725;Posieux FR;SH, CP;;B, C, O, P
41566514;Andreas Galliker;Gärbigass ;6215;Beromünster LU;SH;;B, C, O, P
70215523;Andrist Peter;Dorfstrasse 46;4452;Itingen BL;SH;SH(II), SH(III);B, C, O, P
42803025;Arnold - Felber Hans, Kundenmetzgerei;Hint. Mühletal (Schlachtbetrieb) ;6130;Willisau LU;SH;;B, C, O, P
70149373;Bauernverein Gossau;Berghofstrasse 56,1;8625;Gossau ZH ZH;SH;SH(II), SH(III);B, C, O, P, S
